round 1 secondBrain96 260 266 Resource13
round 0 secondBrain59 158 163 Resource13
round 3 secondBrain151 434 438 Resource13
round 2 secondBrain54 154 158 Resource13
round 0 secondBrain65 173 183 Resource13
round 2 secondBrain128 366 371 Resource13
round 6 secondBrain23 64 72 Resource13
round 5 secondBrain85 261 268 Resource13
round 1 secondBrain69 190 194 Resource13
round 3 secondBrain97 275 279 Resource13
round 3 secondBrain150 426 436 Resource13
round 1 secondBrain115 303 307 Resource13
round 1 secondBrain17 39 44 Resource13
round 2 secondBrain86 250 255 Resource13
round 3 secondBrain61 163 173 Resource13
round 4 secondBrain77 223 231 Resource13
round 6 secondBrain131 396 401 Resource13
round 2 secondBrain51 145 154 Resource13
round 1 secondBrain103 288 293 Resource13
round 4 secondBrain87 245 250 Resource14
round 2 secondBrain131 365 375 Resource14
round 3 secondBrain35 103 107 Resource14
round 3 secondBrain9 23 27 Resource14
round 6 secondBrain57 182 186 Resource14
round 0 secondBrain84 223 235 Resource14
round 2 secondBrain29 83 87 Resource14
round 3 secondBrain59 173 178 Resource14
round 2 secondBrain35 99 103 Resource14
round 3 secondBrain64 173 178 Resource14
round 6 secondBrain73 235 245 Resource14
round 3 secondBrain150 426 434 Resource14
round 2 secondBrain102 269 280 Resource14
round 2 secondBrain6 17 21 Resource14
round 2 secondBrain90 253 257 Resource14
round 5 secondBrain7 36 48 Resource14
round 3 secondBrain48 123 130 Resource14
round 0 secondBrain118 338 352 Resource14
round 0 secondBrain51 130 141 Resource14
round 4 secondBrain100 294 298 Resource14
round 4 secondBrain98 286 297 Resource14
round 5 secondBrain98 298 305 Resource14
round 3 secondBrain91 258 268 Resource14
round 3 secondBrain46 119 123 Resource14
round 3 secondBrain60 171 175 Resource14
round 0 secondBrain144 397 402 Resource14
round 2 secondBrain11 29 34 Resource14
round 4 secondBrain29 94 98 Resource14
round 5 secondBrain79 211 223 Resource14
round 3 secondBrain100 321 326 Resource14
round 5 secondBrain23 60 64 Resource14
round 4 secondBrain136 386 397 Resource14
round 4 secondBrain113 329 333 Resource14
round 1 secondBrain118 334 338 Resource14
round 2 secondBrain55 162 168 Resource14
round 0 secondBrain129 352 359 Resource14
round 0 secondBrain4 0 11 Resource14
round 4 secondBrain14 49 54 Resource14
round 5 secondBrain14 54 60 Resource14
round 2 secondBrain72 178 197 Resource14
round 0 secondBrain29 64 71 Resource14
round 4 secondBrain39 110 114 Resource14
round 2 secondBrain114 317 321 Resource14
round 3 secondBrain15 52 61 Resource15
round 0 secondBrain45 105 110 Resource15
round 3 secondBrain56 158 168 Resource15
round 4 secondBrain95 288 292 Resource15
round 4 secondBrain34 100 105 Resource15
round 0 secondBrain66 180 188 Resource15
round 5 secondBrain150 439 446 Resource15
round 4 secondBrain0 23 32 Resource15
round 5 secondBrain53 153 158 Resource15
round 4 secondBrain158 448 456 Resource15
round 5 secondBrain67 198 203 Resource15
round 2 secondBrain95 278 282 Resource15
round 2 secondBrain53 130 136 Resource15
round 1 secondBrain73 203 209 Resource15
round 3 secondBrain45 119 123 Resource15
round 2 secondBrain122 346 351 Resource15
round 1 secondBrain15 38 48 Resource15
round 0 secondBrain59 168 180 Resource15
round 3 secondBrain134 365 369 Resource15
round 4 secondBrain76 209 215 Resource15
round 3 secondBrain108 322 329 Resource15
round 0 secondBrain158 420 426 Resource15
round 1 secondBrain24 61 68 Resource15
round 3 secondBrain25 68 74 Resource15
round 4 secondBrain28 75 85 Resource15
round 2 secondBrain152 415 420 Resource15
round 2 secondBrain47 123 130 Resource15
round 3 secondBrain123 351 359 Resource15
round 2 secondBrain81 220 224 Resource15
round 4 secondBrain9 32 38 Resource15
round 3 secondBrain106 311 322 Resource15
round 5 secondBrain32 95 100 Resource15
round 3 secondBrain78 229 235 Resource15
round 1 secondBrain136 369 380 Resource15
round 1 secondBrain91 248 253 Resource15
round 2 secondBrain148 426 434 Resource15
round 5 secondBrain73 229 236 Resource15
round 4 secondBrain123 359 365 Resource15
round 5 secondBrain84 254 258 Resource15
round 1 secondBrain143 380 398 Resource15
round 6 secondBrain75 229 234 Resource16
round 4 secondBrain157 439 443 Resource16
round 0 secondBrain2 0 11 Resource16
round 0 secondBrain127 345 357 Resource16
round 0 secondBrain140 374 379 Resource16
round 3 secondBrain82 234 238 Resource16
round 2 secondBrain121 339 345 Resource16
round 4 secondBrain63 201 206 Resource16
round 1 secondBrain114 312 317 Resource16
round 5 secondBrain49 152 156 Resource16
round 0 secondBrain128 357 370 Resource16
round 1 secondBrain28 55 66 Resource16
round 3 secondBrain158 443 448 Resource16
round 1 secondBrain65 183 188 Resource16
round 4 secondBrain26 87 93 Resource16
round 1 secondBrain147 404 413 Resource16
round 0 secondBrain109 302 306 Resource16
round 6 secondBrain9 49 54 Resource16
round 1 secondBrain135 370 374 Resource16
round 5 secondBrain68 202 207 Resource16
round 3 secondBrain6 23 29 Resource16
round 5 secondBrain76 215 223 Resource16
round 3 secondBrain43 134 144 Resource16
round 0 secondBrain108 294 302 Resource16
round 2 secondBrain139 393 404 Resource16
round 2 secondBrain115 307 311 Resource16
round 2 secondBrain3 12 23 Resource16
round 4 secondBrain118 351 355 Resource16
round 2 secondBrain98 278 282 Resource16
round 3 secondBrain49 144 148 Resource16
round 6 secondBrain29 104 108 Resource16
round 2 secondBrain78 223 229 Resource16
round 4 secondBrain98 286 294 Resource16
round 1 secondBrain59 163 169 Resource16
round 4 secondBrain135 384 393 Resource16
round 5 secondBrain29 108 117 Resource16
round 1 secondBrain67 177 182 Resource16
round 3 secondBrain24 78 82 Resource16
round 3 secondBrain108 322 329 Resource16
round 1 secondBrain151 421 425 Resource16
round 0 secondBrain94 246 259 Resource16
round 2 secondBrain47 117 129 Resource16
round 2 secondBrain85 239 246 Resource16
round 2 secondBrain116 323 327 Resource16
round 2 secondBrain157 425 432 Resource16
round 4 secondBrain56 168 174 Resource10
round 6 secondBrain100 305 310 Resource10
round 1 secondBrain150 413 422 Resource10
round 0 secondBrain10 17 22 Resource10
round 2 secondBrain97 271 275 Resource10
round 2 secondBrain57 160 168 Resource10
round 2 secondBrain138 384 388 Resource10
round 4 secondBrain151 439 446 Resource10
round 1 secondBrain74 204 210 Resource10
round 2 secondBrain65 188 193 Resource10
round 2 secondBrain93 255 259 Resource10
round 1 secondBrain6 12 17 Resource10
round 2 secondBrain52 125 133 Resource10
round 0 secondBrain69 186 190 Resource10
round 2 secondBrain88 259 264 Resource10
round 4 secondBrain109 320 332 Resource10
round 0 secondBrain85 216 233 Resource10
round 2 secondBrain67 182 186 Resource10
round 0 secondBrain42 104 109 Resource10
round 3 secondBrain131 375 379 Resource10
round 3 secondBrain119 338 344 Resource10
round 1 secondBrain51 141 148 Resource10
round 0 secondBrain78 210 216 Resource10
round 5 secondBrain67 198 204 Resource10
round 0 secondBrain2 0 4 Resource10
round 5 secondBrain122 360 367 Resource10
round 5 secondBrain29 98 104 Resource10
round 2 secondBrain32 78 85 Resource10
round 2 secondBrain119 332 338 Resource10
round 3 secondBrain13 22 31 Resource10
round 4 secondBrain150 434 439 Resource10
round 1 secondBrain99 265 278 Resource10
round 3 secondBrain147 422 426 Resource10
round 3 secondBrain5 19 24 Resource10
round 2 secondBrain66 193 197 Resource10
round 1 secondBrain86 245 250 Resource10
round 3 secondBrain95 282 288 Resource10
round 3 secondBrain109 314 320 Resource10
round 1 secondBrain42 109 116 Resource10
round 5 secondBrain23 59 73 Resource10
round 1 secondBrain52 116 125 Resource10
round 1 secondBrain14 31 37 Resource10
round 3 secondBrain21 49 59 Resource10
round 3 secondBrain90 257 264 Resource11
round 5 secondBrain158 456 460 Resource11
round 2 secondBrain113 320 324 Resource11
round 0 secondBrain150 387 413 Resource11
round 3 secondBrain18 58 63 Resource11
round 5 secondBrain0 32 39 Resource11
round 2 secondBrain150 422 426 Resource11
round 2 secondBrain57 160 166 Resource11
round 0 secondBrain101 268 282 Resource11
round 5 secondBrain134 375 379 Resource11
round 2 secondBrain69 194 198 Resource11
round 3 secondBrain17 49 54 Resource11
round 3 secondBrain119 338 354 Resource11
round 0 secondBrain43 112 118 Resource11
round 3 secondBrain27 70 77 Resource11
round 0 secondBrain80 211 229 Resource11
round 3 secondBrain87 239 245 Resource11
round 4 secondBrain79 207 211 Resource11
round 1 secondBrain85 233 239 Resource11
round 0 secondBrain141 379 387 Resource11
round 1 secondBrain40 96 105 Resource11
round 2 secondBrain49 138 144 Resource11
round 1 secondBrain29 77 83 Resource11
round 3 secondBrain156 449 453 Resource11
round 4 secondBrain87 245 249 Resource11
round 3 secondBrain26 83 96 Resource11
round 1 secondBrain130 357 369 Resource11
round 1 secondBrain158 426 438 Resource11
round 1 secondBrain119 327 331 Resource11
round 2 secondBrain101 288 293 Resource11
round 2 secondBrain94 264 268 Resource11
round 2 secondBrain16 39 48 Resource11
round 5 secondBrain45 129 138 Resource11
round 4 secondBrain53 144 153 Resource11
round 3 secondBrain57 166 175 Resource11
round 2 secondBrain106 303 311 Resource11
round 3 secondBrain103 299 303 Resource11
round 5 secondBrain75 225 229 Resource11
round 5 secondBrain82 244 254 Resource11
round 2 secondBrain40 105 112 Resource11
round 0 secondBrain122 331 336 Resource11
round 2 secondBrain116 323 328 Resource12
round 4 secondBrain7 32 36 Resource12
round 3 secondBrain127 370 375 Resource12
round 1 secondBrain66 188 192 Resource12
round 3 secondBrain26 82 99 Resource12
round 2 secondBrain75 209 214 Resource12
round 3 secondBrain16 48 54 Resource12
round 4 secondBrain131 379 393 Resource12
round 0 secondBrain149 400 414 Resource12
round 2 secondBrain32 78 82 Resource12
round 6 secondBrain63 210 221 Resource12
round 4 secondBrain125 350 355 Resource12
round 5 secondBrain116 339 344 Resource12
round 2 secondBrain20 48 57 Resource12
round 1 secondBrain18 37 48 Resource12
round 0 secondBrain62 164 170 Resource12
round 4 secondBrain157 439 443 Resource12
round 4 secondBrain67 194 198 Resource12
round 1 secondBrain134 356 360 Resource12
round 2 secondBrain139 393 400 Resource12
round 3 secondBrain86 255 259 Resource12
round 6 secondBrain49 156 164 Resource12
round 2 secondBrain100 281 289 Resource12
round 5 secondBrain14 57 63 Resource12
round 3 secondBrain0 15 23 Resource12
round 5 secondBrain36 112 116 Resource12
round 3 secondBrain42 128 148 Resource12
round 0 secondBrain97 259 267 Resource12
round 2 secondBrain109 310 316 Resource12
round 2 secondBrain111 302 308 Resource12
round 2 secondBrain83 229 237 Resource12
round 1 secondBrain98 271 278 Resource12
round 1 secondBrain42 116 121 Resource12
round 3 secondBrain75 214 221 Resource12
round 4 secondBrain84 247 254 Resource12
round 1 secondBrain75 203 209 Resource8
round 1 secondBrain0 7 11 Resource8
round 5 secondBrain56 174 188 Resource8
round 6 secondBrain93 281 286 Resource8
round 5 secondBrain120 369 373 Resource8
round 0 secondBrain46 107 115 Resource8
round 5 secondBrain113 333 341 Resource8
round 4 secondBrain48 130 134 Resource8
round 2 secondBrain149 418 422 Resource8
round 4 secondBrain93 273 277 Resource8
round 1 secondBrain89 246 253 Resource8
